(R, 1)[0] => [[1, 0], [0, 0]]
(U, 2)[0] => [[1, 1], [0, 0]]
(U, 2)[0] => [[1, 2], [1, 1]]
(L, 1)[0] => [[0, 2], [1, 1]]
(R, 2)[0] => [[1, 2], [1, 1]]
(R, 2)[0] => [[2, 2], [1, 1]]
(L, 1)[0] => [[1, 2], [1, 1]]
(U, 2)[0] => [[1, 3], [1, 2]]
(U, 2)[0] => [[1, 4], [1, 3]]
(R, 2)[0] => [[2, 4], [1, 3]]
(R, 2)[0] => [[3, 4], [2, 4]]
(L, 2)[0] => [[2, 4], [2, 4]]
(L, 2)[0] => [[1, 4], [2, 4]]
(R, 2)[0] => [[2, 4], [2, 4]]
(R, 2)[0] => [[3, 4], [2, 4]]
(U, 2)[0] => [[3, 5], [2, 4]]
(U, 2)[0] => [[3, 6], [3, 5]]
(L, 2)[0] => [[2, 6], [3, 5]]
(L, 2)[0] => [[1, 6], [2, 6]]
(R, 2)[0] => [[2, 6], [2, 6]]
(R, 2)[0] => [[3, 6], [2, 6]]
(L, 1)[0] => [[2, 6], [2, 6]]
(D, 2)[0] => [[2, 5], [2, 6]]
(D, 2)[0] => [[2, 4], [2, 5]]
(R, 2)[0] => [[3, 4], [2, 5]]
(R, 2)[0] => [[4, 4], [3, 4]]
(L, 1)[0] => [[3, 4], [3, 4]]
(R, 1)[0] => [[4, 4], [3, 4]]
(L, 2)[0] => [[3, 4], [3, 4]]
(L, 2)[0] => [[2, 4], [3, 4]]
(U, 2)[0] => [[2, 5], [3, 4]]
(U, 2)[0] => [[2, 6], [2, 5]]
(L, 1)[0] => [[1, 6], [2, 5]]
(R, 1)[0] => [[2, 6], [2, 5]]
(U, 2)[0] => [[2, 7], [2, 6]]
(U, 2)[0] => [[2, 8], [2, 7]]
(D, 2)[0] => [[2, 7], [2, 7]]
(D, 2)[0] => [[2, 6], [2, 7]]
(U, 1)[0] => [[2, 7], [2, 7]]
(L, 2)[0] => [[1, 7], [2, 7]]
(L, 2)[0] => [[0, 7], [1, 7]]
(R, 1)[0] => [[1, 7], [1, 7]]
(D, 2)[0] => [[1, 6], [1, 7]]
(D, 2)[0] => [[1, 5], [1, 6]]
(L, 1)[0] => [[0, 5], [1, 6]]
(D, 2)[0] => [[0, 4], [0, 5]]
